age,gender,event_date,event_state
33,male,2019/12/18,VA
37,male,2019/06/27,OH
36,male,2019/10/05,MN
62,male,2018/06/06,IN
49,male,2018/06/12,IN
,male,2018/06/14,GA
23,male,2018/06/14,NM
38,male,2018/06/13,CA
47,male,2018/06/14,IL
40,male,2018/06/13,WA
40,male,2018/06/13,WA
38,male,2018/06/11,MA
,,2018/06/18,MI
17,male,2018/06/11,IN
35,,2018/06/16,FL
51,male,2018/06/11,IL
41,male,2018/05/27,IN
27,female,2018/06/11,OH
31,male,2018/06/11,OH
,,2018/06/16,FL
57,male,2018/06/14,MI
,,2018/06/08,TX
,male,2018/06/15,CO
46,male,2018/09/14,WI
51,female,2018/06/17,NY
31,male,2018/09/12,NY
,male,2018/06/15,MO
61,male,2018/09/12,IN
44,male,2018/06/16,MT
35,male,2018/06/16,MT
43,male,2018/09/19,SC
20,male,2018/09/13,GA
27,male,2018/09/18,MI
47,male,2018/09/13,NY
19,male,2018/09/13,OH
,,2018/09/19,GA
29,male,2018/08/14,AL
,male,2018/09/12,CA
56,male,2018/08/21,WA
41,male,2018/09/20,MD
41,female,2018/09/20,MD
45,male,2018/09/20,MD
0,male,2018/08/20,TX
18,male,2018/09/20,CA
41,male,2018/09/16,KS
53,male,2018/09/20,OH
62,male,2018/09/15,UT
32,male,2018/09/21,IL
,,2018/09/22,FL
,,2018/09/24,TN
61,male,2018/09/14,IL
41,male,2018/09/16,KS
68,male,2018/09/15,FL
47,male,2018/09/03,IL
39,male,2018/09/03,NY
68,male,2018/06/04,SC
62,male,2018/09/03,WA
20,male,2018/09/03,OR
66,male,2018/09/04,AL
52,male,2018/06/06,WY
26,male,2018/09/05,LA
25,male,2018/06/06,AL
53,male,2018/06/06,FL
20,male,2018/06/06,MD
66,male,2018/09/05,AL
64,male,2018/09/06,OH
32,male,2018/06/07,FL
27,male,2018/09/05,ID
43,male,2018/06/06,WV
35,male,2018/09/04,WI
44,male,2018/06/06,MT
58,male,2018/06/06,MT
68,male,2018/09/08,TX
24,male,2018/06/07,NJ
35,male,2018/09/05,WI
,male,2018/06/07,PA
31,male,2018/09/08,MS
63,male,2018/07/06,AZ
38,male,2018/06/04,GA
41,male,2018/06/07,OH
43,male,2018/09/07,NY
57,female,2018/06/07,PA
35,male,2018/09/08,MT
23,male,2018/06/07,WI
31,male,2018/06/09,MD
43,male,2018/09/08,SD
26,male,2018/06/10,TX
58,male,2018/08/25,NY
57,female,2018/08/27,NJ
33,male,2018/08/24,CA
41,female,2018/08/24,AK
36,male,2018/08/27,FL
51,male,2018/06/10,MN
68,male,2018/08/25,WY
68,male,2018/08/25,WY
42,male,2018/06/10,KY
32,male,2018/08/27,IL
32,male,2018/08/27,IL
32,male,2018/08/27,IL
,male,2018/06/10,TX
32,male,2018/08/27,
55,male,2018/08/28,IL
26,male,2018/08/22,TN
36,male,2018/12/17,IL
31,male,2018/12/17,IL
25,male,2018/12/17,FL
38,male,2018/12/20,NJ
36,male,2018/12/17,MD
61,male,2018/12/21,PA
41,male,2018/12/20,NY
35,male,2018/12/20,PA
,male,2018/12/20,PA
53,male,2018/12/20,RI
27,male,2018/12/21,IA
,male,2018/12/24,WA
28,female,2018/12/24,AL
21,female,2018/12/26,NJ
,male,2018/12/18,MA
28,male,2018/12/28,OH
,male,2018/12/08,GA
,female,2018/12/24,KY
33,male,2018/12/28,CA
40,male,2018/12/29,FL
66,male,2018/12/31,WA
28,male,2018/12/31,WA
22,female,2018/12/31,NC
47,male,2018/12/31,IL
37,male,2018/12/07,IA
,male,2018/12/13,CO
64,male,2018/12/14,SC
,male,2018/12/13,IN
24,male,2018/11/12,KY
32,male,2018/12/11,CA
32,male,2018/12/14,FL
24,male,2018/12/12,GA
49,female,2018/12/15,SC
31,male,2018/12/15,NC
31,male,2018/12/15,NC
28,female,2018/11/16,MN
51,male,2018/12/05,CA
32,male,2018/12/05,PA
69,male,2018/12/07,TX
,male,2018/12/06,TN
,male,2018/12/06,TN
26,male,2018/11/14,IL
31,male,2018/11/11,MN
,male,2018/11/13,UT
58,male,2018/11/15,SC
60,male,2018/11/15,NY
,male,2018/11/17,GA
59,male,2018/11/16,FL
33,male,2018/11/16,OH
24,male,2018/11/17,NC
60,male,2018/11/14,NE
44,male,2018/11/15,NC
26,male,2018/11/15,MA
43,male,2018/11/16,CO
,male,2018/11/17,ID
,male,2018/11/10,TX
52,male,2018/11/15,WI
32,male,2018/11/19,TX
51,male,2018/11/20,TX
25,female,2018/11/21,IL
38,female,2018/11/21,IL
28,male,2018/11/21,IL
21,male,2018/11/21,FL
41,male,2018/11/20,GA
58,male,2018/11/25,MN
23,male,2018/11/25,MS
37,male,2018/11/25,NY
44,male,2018/11/19,IA
75,male,2018/11/20,WV
30,male,2018/11/28,VA
31,male,2018/11/26,UT
45,male,2018/11/26,CA
75,male,2018/11/26,MA
62,male,2018/11/26,AR
49,male,2018/11/21,VA
44,male,2018/11/28,NY
41,male,2018/11/30,AZ
49,male,2018/11/27,AL
65,male,2018/11/27,PA
36,male,2018/11/30,TN
,,2018/08/29,SC
,,2018/08/29,OH
30,male,2018/08/30,WV
52,male,2018/11/06,CA
63,male,2018/11/01,CT
34,male,2018/11/03,MS
51,male,2018/11/07,IN
71,male,2018/11/07,SC
32,male,2018/11/05,GA
44,female,2018/11/06,MI
59,male,2018/11/18,SC
32,male,2018/11/07,IN
41,male,2018/11/07,NE
35,male,2018/11/08,IN
,,2018/11/08,MI
31,male,2018/11/09,MN
28,male,2018/11/08,NE
,male,2018/11/08,CA
46,male,2018/11/08,IN
,male,2018/11/08,FL
73,female,2018/11/02,SC
48,male,2018/11/08,KY
40,male,2018/11/08,CA
,male,2018/11/10,UT
,,2018/11/10,UT
52,male,2018/10/25,MT
,male,2018/10/28,MT
55,male,2018/10/29,TN
43,male,2018/10/29,VA
65,female,2018/10/29,CA
33,male,2018/10/17,WV
40,male,2018/10/30,AR
64,male,2018/10/31,WI
