age,gender,event_date,event_state
69,male,,MA
,,,IL
,,02/01/2016,NC
45,male,02/01/2016,IL
,,,NJ
,,,OH
,,,OH
,,,TX
,,,IL
,,,FL
,,,LA
,,,NY
,,,TX
,,,PA
30,male,06/01/2016,IA
25,male,06/01/2016,PA
,,,TX
,,,NY
52,male,07/01/2016,MA
,,,MN
,,,KY
44,male,07/01/2016,AL
50,male,08/01/2016,MA
,,,TX
,,,TX
,,,CA
,,,KS
,,,TX
,,,IL
,male,12/01/2016,TX
43,male,13/01/2016,MA
,,,IL
,,09/01/2016,CA
,,,
35,male,14/01/2016,FL
50,male,14/01/2016,PA
22,male,14/01/2016,MA
,,,NC
,,,CA
,,,AL
39,male,15/01/2016,WV
57,male,,MA
22,male,14/01/2016,MA
,,,CO
,,,IL
,,,IN
,,,MT
,male,19/01/2016,TX
53,male,19/01/2016,TX
56,male,,MA
,,,OH
,,,FL
,,,IN
,,,ID
,male,20/01/2016,AL
,,,TN
,,,OK
35,male,21/01/2016,MN
,,,WI
,,,TN
,,,IL
63,male,22/01/2016,NH
,,,GA
,,,OK
,,,TN
,,,IN
,male,26/01/2016,TN
26,male,26/01/2016,TX
24,male,26/01/2016,UT
36,male,26/01/2016,WA
36,male,26/01/2016,WA
,,,NJ
,,,WA
,,,TX
,,,CA
,,,AL
,,,CA
,,,TX
,,,CO
,,,NJ
,,,TX
38,male,28/01/2016,MN
,,,KY
,,,NM
,,,OH
,,,MO
,,,WI
,,,NJ
,,,PA
,,23/01/2016,FL
,male,02/02/2016,FL
50,male,02/02/2016,OH
,,,UT
,,,PA
60,male,03/02/2016,CA
,,,KY
,,,NY
,,,FL
,,,IN
62,male,04/02/2016,NY
18,male,05/02/2016,MA
,,,PA
,,,NJ
,,,TX
54,male,,TX
,,,ND
,,,GA
,,,PA
,,,FL
,,,TN
,,,WI
,,,IL
45,male,08/02/2016,MI
,,,OK
21,male,09/02/2016,TX
,,,LA
,,,FL
,,,VA
19,male,13/02/2016,TX
,,,MO
,,,IA
,,,CA
,,,TN
,,,PA
,,,ID
,,,NM
,,,VT
,,,AL
,,,IL
,,16/02/2016,NM
25,male,17/02/2016,MA
62,male,17/02/2016,MA
,,,IA
,,,GA
,,,NJ
,,,FL
,,,PA
,male,18/02/2016,TX
,male,18/02/2016,NY
45,male,18/02/2016,NJ
25,male,18/02/2016,NJ
,,,LA
,,,NC
,,,UT
,,,TX
,,,IN
,,19/02/2016,CA
37,male,19/02/2016,UT
,,,FL
,,,WA
,,27/01/2016,WA
,,,PA
,male,19/02/2016,NJ
,,,FL
,,,AL
48,male,22/02/2016,MD
56,male,22/02/2016,NY
,,,CA
,,,OK
,,,UT
40,male,23/02/2016,WV
,,,AZ
,,,NC
,,,CA
,,24/02/2016,TX
32,male,24/02/2016,AR
34,male,24/02/2016,FL
,,,WV
,,,AL
,,,KS
,,,KS
,,,KS
,,,KY
55,male,26/02/2016,MA
,,,NC
,,,KY
,,,TN
47,male,26/02/2016,MA
,,,NJ
66,male,29/02/2016,MA
,,,WI
,,,TX
,,,MI
,,,WA
,,,WV
,male,01/03/2016,KS
,male,01/03/2016,NY
44,male,01/03/2016,KS
66,male,01/03/2016,KS
,,,TX
,male,02/03/2016,AR
50,male,02/03/2016,IN
51,male,02/03/2016,AL
,,,FL
,,,FL
,,03/03/2016,TX
,,,
,,,IN
,,,CA
,,,CA
,,,KY
,,03/03/2016,FL
,,,FL
,,,CA
,,,NC
28,male,08/03/2016,NC
,,,TX
,,,FL
,,,NE
,,,OK
,,09/03/2016,NE
38,male,09/03/2016,TN
,,,OH
,,,IN
,,,IN
,,,FL
,,,OH
,male,10/03/2016,MD
,,,VT
,,,CA
,,,NJ
51,,,TX
,,,CA
,,,CA
,,,IN
,,,MP
,,,VA
37,male,13/03/2016,NY
,,,KS
,,,NC
,,,IN
38,male,14/03/2016,MD
53,male,14/03/2016,NM
49,male,14/03/2016,NM
,,,WI
,,25/02/2016,IL
40,male,15/03/2016,MO
44,male,16/03/2016,MA
,,,NM
,,,NM
,,,NE
,,,FL
,,,IL
,,,TX
,,,AL
,,,IA
,,,IA
,,,LA
,male,17/03/2016,VA
